,oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won
0,soccer/world/world-cup-2006/italy-france-4Y9TBwM5,09.07.2006,Italy,France,2:1,2.57,2.79,3.18,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-07-09,2006-07,world,2006,world-cup,1,0.0,2.57,True
1,soccer/world/world-cup-2006/germany-portugal-MPnHCJ6a,08.07.2006,Germany,Portugal,3:1,1.83,3.36,4.31,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-07-08,2006-07,world,2006,world-cup,1,0.0,1.83,True
2,soccer/world/world-cup-2006/portugal-france-hjrDDaig,05.07.2006,Portugal,France,0:1,3.84,2.87,2.14,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-07-05,2006-07,world,2006,world-cup,2,2.0,2.14,True
3,soccer/world/world-cup-2006/germany-italy-Eaq9Euxm,04.07.2006,Germany,Italy,0:2,2.43,2.87,3.21,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-07-04,2006-07,world,2006,world-cup,2,2.0,3.21,False
4,soccer/world/world-cup-2006/brazil-france-Wzf4FLMt,01.07.2006,Brazil,France,0:1,1.74,3.34,5.04,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-07-01,2006-07,world,2006,world-cup,2,2.0,5.04,False
5,soccer/world/world-cup-2006/england-portugal-fF2xK1EP,01.07.2006,England,Portugal,0:1,2.11,3.02,3.7,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-07-01,2006-07,world,2006,world-cup,2,2.0,3.7,False
6,soccer/world/world-cup-2006/germany-argentina-b3irdbMI,30.06.2006,Germany,Argentina,2:1,2.55,3.0,2.89,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-06-30,2006-06,world,2006,world-cup,1,0.0,2.55,True
7,soccer/world/world-cup-2006/italy-ukraine-xfjneIyP,30.06.2006,Italy,Ukraine,3:0,1.58,3.4,6.86,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-06-30,2006-06,world,2006,world-cup,1,0.0,1.58,True
8,soccer/world/world-cup-2006/brazil-ghana-hjMsbKi6,27.06.2006,Brazil,Ghana,3:0,1.26,5.23,10.63,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-06-27,2006-06,world,2006,world-cup,1,0.0,1.26,True
9,soccer/world/world-cup-2006/spain-france-WtLocv7C,27.06.2006,Spain,France,1:3,2.33,3.0,3.19,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R,2006-06-27,2006-06,world,2006,world-cup,2,2.0,3.19,False
