,oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won
0,soccer/north-central-america/concacaf-nations-league-2019-2020/barbados-nicaragua-tGVzU5Gm,25.03.2019,Barbados,Nicaragua,0:1,3.77,3.69,1.78,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-25,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.78,True
1,soccer/north-central-america/concacaf-nations-league-2019-2020/canada-french-guiana-E5odylOD,24.03.2019,Canada,French Guiana,4:1,1.2,5.74,10.11,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.2,True
2,soccer/north-central-america/concacaf-nations-league-2019-2020/dominican-republic-bermuda-MVl4ZRhQ,24.03.2019,Dominican Republic,Bermuda,1:3,1.9,3.46,3.47,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,3.47,False
3,soccer/north-central-america/concacaf-nations-league-2019-2020/el-salvador-jamaica-lbpJTdM4,24.03.2019,El Salvador,Jamaica,2:0,2.41,2.93,2.88,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.41,True
4,soccer/north-central-america/concacaf-nations-league-2019-2020/guadeloupe-martinique-KIh2XvNu,24.03.2019,Guadeloupe,Martinique,0:1,3.24,3.22,2.07,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.07,True
5,soccer/north-central-america/concacaf-nations-league-2019-2020/haiti-cuba-OvyWUo1s,24.03.2019,Haiti,Cuba,2:1,1.57,3.83,4.84,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.57,True
6,soccer/north-central-america/concacaf-nations-league-2019-2020/puerto-rico-grenada-YTzePsVI,24.03.2019,Puerto Rico,Grenada,0:2,2.24,3.44,2.67,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.67,False
7,soccer/north-central-america/concacaf-nations-league-2019-2020/british-virgin-islands-bonaire-A79LIKjk,24.03.2019,British Virgin Islands,Bonaire,1:2,2.19,3.54,2.68,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.68,False
8,soccer/north-central-america/concacaf-nations-league-2019-2020/antigua-and-barbuda-curacao-S8k0z8wK,23.03.2019,Antigua and Barbuda,Curacao,2:1,9.58,4.89,1.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,9.58,False
9,soccer/north-central-america/concacaf-nations-league-2019-2020/cayman-islands-montserrat-ETTrSqo0,23.03.2019,Cayman Islands,Montserrat,1:2,4.88,4.03,1.51,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.51,True
10,soccer/north-central-america/concacaf-nations-league-2019-2020/dominica-bahamas-b9i6Wbxn,23.03.2019,Dominica,Bahamas,4:0,1.6,3.45,5.06,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.6,True
11,soccer/north-central-america/concacaf-nations-league-2019-2020/guyana-belize-fyoFUx7b,23.03.2019,Guyana,Belize,2:1,2.22,3.27,2.82,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.22,True
12,soccer/north-central-america/concacaf-nations-league-2019-2020/sint-maarten-saint-martin-K6UvTPVg,23.03.2019,Sint Maarten,Saint Martin,4:3,3.02,3.52,2.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,3.02,False
13,soccer/north-central-america/concacaf-nations-league-2019-2020/suriname-saint-kitts-and-nevis-CEnnR306,23.03.2019,Suriname,Saint Kitts and Nevis,2:0,3.06,3.55,1.99,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,3.06,False
14,soccer/north-central-america/concacaf-nations-league-2019-2020/anguilla-united-states-virgin-islands-800KRziH,22.03.2019,Anguilla,United States Virgin Islands,0:3,1.81,3.77,3.43,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-22,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,3.43,False
15,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-lucia-aruba-fwxiQNFC,22.03.2019,Saint Lucia,Aruba,3:2,1.8,3.61,3.56,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-22,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.8,True
16,soccer/north-central-america/concacaf-nations-league-2019-2020/british-virgin-islands-turks-and-caicos-islands-tYtBVIih,21.03.2019,British Virgin Islands,Turks and Caicos Islands,2:2,3.06,4.07,1.87,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-21,2019-03,north-central-america,2020,concacaf-nations-league-2019,N,1.0,4.07,False
17,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-vincent-and-the-grenadines-bonaire-SlqNSGyB,21.03.2019,Saint Vincent and the Grenadines,Bonaire,2:1,1.05,10.53,19.75,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-21,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.05,True
18,soccer/north-central-america/concacaf-nations-league-2019-2020/curacao-guadeloupe-WIsTy0cR,20.11.2018,Curacao,Guadeloupe,6:0,1.41,3.92,6.81,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-20,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.41,True
19,soccer/north-central-america/concacaf-nations-league-2019-2020/french-guiana-guyana-tY4HJ0yq,20.11.2018,French Guiana,Guyana,2:1,2.7,3.74,2.19,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-20,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.7,False
20,soccer/north-central-america/concacaf-nations-league-2019-2020/martinique-antigua-and-barbuda-OGM7UHk1,20.11.2018,Martinique,Antigua and Barbuda,4:2,2.34,3.42,2.58,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-20,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.34,True
21,soccer/north-central-america/concacaf-nations-league-2019-2020/sint-maarten-dominica-hSrPxtrL,20.11.2018,Sint Maarten,Dominica,0:2,26.0,17.0,1.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-20,2018-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.01,True
22,soccer/north-central-america/concacaf-nations-league-2019-2020/bahamas-anguilla-d0kGv2D8,19.11.2018,Bahamas,Anguilla,1:1,1.55,3.96,4.81,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-19,2018-11,north-central-america,2020,concacaf-nations-league-2019,N,1.0,3.96,False
23,soccer/north-central-america/concacaf-nations-league-2019-2020/barbados-united-states-virgin-islands-zilKwMSE,19.11.2018,Barbados,United States Virgin Islands,3:0,1.03,13.18,24.37,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-19,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.03,True
24,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-kitts-and-nevis-canada-lb8PHv6e,19.11.2018,Saint Kitts and Nevis,Canada,0:1,8.57,5.49,1.24,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-19,2018-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.24,True
