Game,Competition,Score,opening,closing
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,2.5,1.7461904761904763,1.8352380952380951
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,2.75,1.9649999999999999,1.98
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,2,1.3466666666666667,1.3566666666666667
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,3.5,2.7823529411764705,3.076470588235294
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,3,2.31,2.35
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,3.25,2.66,2.72
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,2.25,1.55,1.59
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,1.5,1.2249999999999999,1.2542857142857142
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,4.5,5.045833333333333,5.5375000000000005
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,1,1.04,1.04
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,4,4.3,4.28
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,0.5,1.0315384615384615,1.0307692307692309
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,6.5,16.69,15.21875
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,5.5,9.538,9.85
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,2.5,1.947142857142857,1.8595238095238094
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,2.75,1.7425,1.7325
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,2,2.876666666666667,2.856666666666667
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,3.5,1.346470588235294,1.326470588235294
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,3,1.5366666666666668,1.5233333333333334
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,3.25,1.4,1.38
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,2.25,2.3,2.26
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,1.5,3.5942857142857143,3.4335714285714287
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,4.5,1.1083333333333334,1.1058333333333334
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,1,8.1,8.1
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,4,1.18,1.18
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,0.5,9.213076923076922,9.142307692307693
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,6.5,1.00625,1.00625
barbados-nicaragua-tGVzU5Gm,concacaf-nations-league-2019-2020,5.5,1.0290000000000001,1.026
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,2.5,1.5164285714285715,1.5778571428571428
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,1.5,1.1566666666666665,1.1849999999999998
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,6.5,9.78125,10.3125
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,3.5,2.323846153846154,2.477692307692308
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,4.5,4.1000000000000005,4.3225
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,5.5,6.963636363636363,7.4409090909090905
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,1,1.01,1.03
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,2,1.22,1.27
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,3,1.8457142857142856,1.92
