oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won,home_team_rank_FIFA,away_team_rank_FIFA,home_score,away_score,diff_score,home_points,away_points
soccer/north-central-america/concacaf-nations-league-2019-2020/barbados-nicaragua-tGVzU5Gm,25.03.2019,Barbados,Nicaragua,0:1,3.74,3.66,1.78,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-25,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.78,True,163.0,138.5,0.0,1.0,1.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/dominican-republic-bermuda-MVl4ZRhQ,24.03.2019,Dominican Republic,Bermuda,1:3,1.89,3.46,3.45,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,3.45,False,155.125,171.25,1.0,3.0,2.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/el-salvador-jamaica-lbpJTdM4,24.03.2019,El Salvador,Jamaica,2:0,2.4,2.92,2.87,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.4,True,70.5,50.5,2.0,0.0,2.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/haiti-cuba-OvyWUo1s,24.03.2019,Haiti,Cuba,2:1,1.56,3.82,4.85,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.56,True,91.625,177.125,2.0,1.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/puerto-rico-grenada-YTzePsVI,24.03.2019,Puerto Rico,Grenada,0:2,2.24,3.43,2.66,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-24,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.66,False,179.375,166.125,0.0,2.0,2.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/cayman-islands-montserrat-ETTrSqo0,23.03.2019,Cayman Islands,Montserrat,1:2,4.92,3.98,1.5,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.5,True,198.75,191.75,1.0,2.0,1.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/dominica-bahamas-b9i6Wbxn,23.03.2019,Dominica,Bahamas,4:0,1.6,3.43,5.03,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.6,True,167.8125,204.875,4.0,0.0,4.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/guyana-belize-fyoFUx7b,23.03.2019,Guyana,Belize,2:1,2.21,3.25,2.81,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-23,2019-03,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.21,True,173.625,166.75,2.0,1.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/british-virgin-islands-turks-and-caicos-islands-tYtBVIih,21.03.2019,British Virgin Islands,Turks and Caicos Islands,2:2,3.02,4.04,1.88,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2019-03-21,2019-03,north-central-america,2020,concacaf-nations-league-2019,N,1.0,4.04,False,206.125,205.75,2.0,2.0,0.0,1.0,1.0
soccer/north-central-america/concacaf-nations-league-2019-2020/bahamas-anguilla-d0kGv2D8,19.11.2018,Bahamas,Anguilla,1:1,1.55,3.96,4.81,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-19,2018-11,north-central-america,2020,concacaf-nations-league-2019,N,1.0,3.96,False,207.75,207.0,1.0,1.0,0.0,1.0,1.0
soccer/north-central-america/concacaf-nations-league-2019-2020/jamaica-suriname-lbUfXJ5r,18.11.2018,Jamaica,Suriname,2:1,1.26,4.99,9.47,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-18,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.26,True,52.916666666666664,154.66666666666666,2.0,1.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/nicaragua-haiti-rc1YFIz8,18.11.2018,Nicaragua,Haiti,0:2,2.35,3.18,2.74,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-18,2018-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.74,False,126.75,99.33333333333333,0.0,2.0,2.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/aruba-montserrat-21YbWwLl,17.11.2018,Aruba,Montserrat,0:2,2.48,3.05,2.67,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.67,False,184.16666666666666,201.16666666666666,0.0,2.0,2.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/belize-puerto-rico-AXKFSeKD,17.11.2018,Belize,Puerto Rico,1:0,1.73,3.27,4.5,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.73,True,166.33333333333334,170.33333333333334,1.0,0.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/bermuda-el-salvador-WtMBTy57,17.11.2018,Bermuda,El Salvador,1:0,5.62,4.47,1.41,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,5.62,False,179.75,78.33333333333333,1.0,0.0,1.0,3.0,0.0
