,matchday,home_team,away_team,season,competition,correct_score,1N2_1,1N2_N,1N2_2,home_team_rank_FIFA,away_team_rank_FIFA,home_team_trend,away_team_trend,home_team_odd_trend,away_team_odd_trend,target,best_odd_won,corr_score_home,corr_score_away
3629,2018-06-14,Russia,Saudi Arabia,2018,world-cup,5:0,1.45,4.29,8.89,55.75,68.33333333333333,9.0,6.0,1.8525000000000005,1.7775000000000007,0.0,True,0.991964898290899,0.8584639760913246
3630,2018-06-15,Egypt,Uruguay,2018,world-cup,0:1,8.24,4.06,1.5,50.5,13.166666666666666,10.0,9.0,3.255000000000001,1.9400000000000004,2.0,True,0.4717154728273949,0.7857142857142857
3631,2018-06-15,Morocco,Iran,2018,world-cup,0:1,2.2,2.94,4.14,42.41666666666666,32.5,9.0,9.0,2.1350000000000007,2.807500000000001,2.0,False,0.9700399895317258,0.9404781634759504
3632,2018-06-15,Portugal,Spain,2018,world-cup,3:3,4.28,3.24,2.03,4.75,7.916666666666667,10.0,8.0,3.255000000000001,3.0300000000000007,1.0,False,0.986666070043373,0.9733596747925446
3633,2018-06-16,Peru,Denmark,2018,world-cup,0:1,3.65,3.07,2.3,15.5,11.333333333333334,9.0,8.0,1.7750000000000006,2.2200000000000006,2.0,True,0.9699088499635932,0.98838149080864
3634,2018-06-16,France,Australia,2018,world-cup,2:1,1.25,6.9,10.83,4.833333333333333,38.91666666666666,10.0,10.0,1.7225000000000006,1.6175000000000006,0.0,True,0.9990988604457783,0.9337494295517476
3635,2018-06-16,Croatia,Nigeria,2018,world-cup,2:0,1.67,3.73,5.91,11.083333333333334,47.75,8.0,5.0,2.0200000000000005,2.4125000000000005,0.0,True,0.9851360785181464,0.787146478429325
3636,2018-06-16,Argentina,Iceland,2018,world-cup,1:1,1.32,5.25,10.93,7.666666666666667,26.83333333333333,10.0,8.0,2.5125000000000006,3.5125000000000006,1.0,False,0.981472655124988,0.8075397259181798
3637,2018-06-17,Costa Rica,Serbia,2018,world-cup,0:1,5.22,3.37,1.83,30.5,33.583333333333336,5.0,5.0,3.6575000000000006,3.5400000000000005,2.0,True,0.8687680563573815,0.8446877845160874
3638,2018-06-17,Brazil,Switzerland,2018,world-cup,1:1,1.46,4.35,8.16,2.583333333333333,7.5,6.0,8.0,3.835000000000001,5.840000000000001,1.0,False,0.9954543130867585,0.9933992677987828
