,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221108203946
1,Senegal,Netherlands,0,2,0.0,3.0,20221108203946
2,Qatar,Senegal,0,2,0.0,3.0,20221108203946
3,Netherlands,Ecuador,2,1,3.0,0.0,20221108203946
4,Ecuador,Senegal,1,2,0.0,3.0,20221108203946
5,Netherlands,Qatar,5,0,3.0,0.0,20221108203946
6,England,Iran,3,3,1.0,1.0,20221108203946
7,USA,Wales,2,3,0.0,3.0,20221108203946
8,Wales,Iran,0,2,0.0,3.0,20221108203946
9,England,USA,1,0,3.0,0.0,20221108203946
10,Iran,USA,0,2,0.0,3.0,20221108203946
11,Wales,England,1,1,1.0,1.0,20221108203946
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221108203946
13,Mexico,Poland,0,0,1.0,1.0,20221108203946
14,Poland,Saudi Arabia,2,2,1.0,1.0,20221108203946
15,Argentina,Mexico,0,0,1.0,1.0,20221108203946
16,Poland,Argentina,2,2,1.0,1.0,20221108203946
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221108203946
18,Denmark,Tunisia,0,2,0.0,3.0,20221108203946
19,France,Australia,2,1,3.0,0.0,20221108203946
20,Tunisia,Australia,1,2,0.0,3.0,20221108203946
21,France,Denmark,1,3,0.0,3.0,20221108203946
22,Australia,Denmark,2,3,0.0,3.0,20221108203946
23,Tunisia,France,0,3,0.0,3.0,20221108203946
24,Germany,Japan,0,2,0.0,3.0,20221108203946
25,Spain,Costa Rica,1,0,3.0,0.0,20221108203946
26,Japan,Costa Rica,2,1,3.0,0.0,20221108203946
27,Spain,Germany,1,1,1.0,1.0,20221108203946
28,Costa Rica,Germany,1,3,0.0,3.0,20221108203946
29,Japan,Spain,0,1,0.0,3.0,20221108203946
30,Morocco,Croatia,0,4,0.0,3.0,20221108203946
31,Belgium,Canada,0,0,1.0,1.0,20221108203946
32,Belgium,Morocco,2,0,3.0,0.0,20221108203946
33,Croatia,Canada,1,0,3.0,0.0,20221108203946
34,Canada,Morocco,0,2,0.0,3.0,20221108203946
35,Croatia,Belgium,1,0,3.0,0.0,20221108203946
36,Switzerland,Cameroon,0,2,0.0,3.0,20221108203946
37,Brazil,Serbia,0,2,0.0,3.0,20221108203946
38,Cameroon,Serbia,1,3,0.0,3.0,20221108203946
39,Brazil,Switzerland,1,1,1.0,1.0,20221108203946
40,Cameroon,Brazil,1,2,0.0,3.0,20221108203946
41,Serbia,Switzerland,2,3,0.0,3.0,20221108203946
42,Uruguay,South Korea,0,2,0.0,3.0,20221108203946
43,Portugal,Ghana,5,1,3.0,0.0,20221108203946
44,South Korea,Ghana,0,0,1.0,1.0,20221108203946
45,Portugal,Uruguay,0,1,0.0,3.0,20221108203946
46,Ghana,Uruguay,0,2,0.0,3.0,20221108203946
47,South Korea,Portugal,3,2,3.0,0.0,20221108203946
